Body1,Body2,Body1_Mass,Body2_Mass,Distance,Body1_KineticEnergy,Body2_KineticEnergy,PotentialEnergy,TotalOrbitalEnergy,SimTime
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.723885e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.602000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.784080e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.603000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.844932e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.604000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.906443e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.605000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.968611e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.606000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.031437e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.607000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.094921e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.608000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.159062e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.609000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.223862e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.610000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.289319e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.611000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.355435e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.612000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.422208e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.613000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.489639e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.614000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.557728e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.615000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.626475e+19,9.185002e+27,-7.619234e+28,-6.700734e+28,9.616000e+03
